isoform	isoLength	flCount	ratioIsoToGene	exonNum	annotation	GC	orfLength	orfIntegrity	pepLength	FickettScore	pI	codingP	codingLabel	canJuncRatio	sdJuncCov	withNovelJunc	minNovelJuncRPKM	bite	minJuncRPKM	nIndelsAroundJunc	ratioMinJuncCovToAllCov	nJuncsWithIndels	indelNearJunc
PB.10.1	1380	4	1.0	12	novel	49.058	978	1	326	0.463	5.891	1.0	coding	1.0	82.741	False	0.0	False	0.352	0	0.021	0	False
PB.1000.1	6111	3	0.043	7	annotated	43.594	2802	1	934	0.505	5.498	1.0	coding	1.0	98.48	False	0.0	False	0.086	0	0.034	0	False
PB.1000.11	5082	2	0.029	7	novel	43.093	4524	1	1508	0.492	5.288	1.0	coding	1.0	105.45	False	0.0	False	0.029	0	0.009	0	False
PB.1000.12	5469	2	0.029	6	novel	42.311	2655	1	885	0.483	5.517	1.0	coding	1.0	100.616	False	0.0	False	0.097	0	0.034	0	False
PB.1000.13	3812	2	0.029	5	novel	43.127	3252	1	1084	0.493	5.013	1.0	coding	1.0	57.656	False	0.0	False	0.083	0	0.049	0	False
PB.1000.14	3681	2	0.029	6	novel	43.113	3132	1	1044	0.506	5.044	1.0	coding	1.0	46.881	False	0.0	False	0.143	0	0.057	0	False
PB.1000.15	3903	2	0.029	5	novel	41.891	1809	1	603	0.423	5.243	1.0	coding	1.0	45.547	False	0.0	False	0.135	0	0.062	0	False
PB.1000.3	5565	23	0.329	9	novel	44.456	5046	1	1682	0.492	5.478	1.0	coding	1.0	90.006	False	0.0	False	0.095	0	0.027	0	False
PB.1000.4	6252	5	0.071	8	novel	43.202	3162	1	1054	0.404	5.81	1.0	coding	0.857	98.916	False	0.0	True	0.084	0	0.033	0	False
PB.1000.5	5468	4	0.057	8	novel	44.605	4950	1	1650	0.492	5.472	1.0	coding	1.0	99.548	False	0.0	False	0.058	0	0.019	0	False
PB.1000.8	6347	3	0.043	7	novel	42.934	2802	1	934	0.442	5.498	1.0	coding	0.833	107.876	False	0.0	True	0.083	0	0.041	0	False
PB.1000.9	6011	22	0.314	8	annotated	43.57	3162	1	1054	0.462	5.81	1.0	coding	1.0	91.604	False	0.0	False	0.088	0	0.029	0	False
